start,start_time,end,end_time
Turku,2023-07-14 05:46:06,Mariehamn,2023-07-14 11:12:00
Mariehamn,2023-07-14 11:37:00,Stockholm,2023-07-14 17:03:25
Stockholm,2023-07-14 18:38:45,Turku,2023-07-15 04:35:17
Turku,2023-07-15 05:45:28,Mariehamn,2023-07-15 11:11:26
Mariehamn,2023-07-15 11:41:30,Stockholm,2023-07-15 17:02:19
Stockholm,2023-07-15 18:27:41,Turku,2023-07-16 04:29:08
Turku,2023-07-16 05:44:27,Mariehamn,2023-07-16 11:09:33
Mariehamn,2023-07-16 11:35:13,Stockholm,2023-07-16 16:56:06
Stockholm,2023-07-16 18:21:25,Turku,2023-07-17 04:32:50
Turku,2023-07-17 05:58:05,Mariehamn,2023-07-17 11:14:03
Mariehamn,2023-07-17 11:44:05,Stockholm,2023-07-17 17:05:08
Stockholm,2023-07-17 18:25:19,Turku,2023-07-18 04:31:42
Turku,2023-07-18 06:02:01,Mariehamn,2023-07-18 11:23:00
Mariehamn,2023-07-18 11:58:00,Stockholm,2023-07-18 17:14:06
Stockholm,2023-07-18 18:44:15,Turku,2023-07-19 04:35:53
Turku,2023-07-19 05:56:07,Mariehamn,2023-07-19 11:12:05
Mariehamn,2023-07-19 11:42:08,Stockholm,2023-07-19 16:58:04
Stockholm,2023-07-19 18:23:15,Turku,2023-07-20 04:30:07
